Price,Bathrooms,Furniture,Tenant Preference,Floor,Flat,Location,Area,Total Floors
55000,2.0,Unfurnished,Bachelors,6,3,Pune,Gera World of Joy,14.0
34000,2.0,Semi-Furnished,Bachelors/Family,4,2,Pune,Dynasty,12.0
12000,2.0,Unfurnished,Bachelors,4,2,Pune,Saptarang Aakash,5.0
28500,2.0,Unfurnished,Family,12,2,Pune,Venkatesh Graffiti Glover,15.0
25000,2.0,Unfurnished,Family,19,2,Pune,Joyville Hadapsar Annexe,22.0
45000,3.0,Semi-Furnished,Bachelors/Family,9,3,Pune,Gera World of Joy,12.0
18000,2.0,Semi-Furnished,Bachelors/Family,0,2,Lucknow,Sushant Golf City Lucknow,2.0
20000,3.0,Unfurnished,Bachelors/Family,1,3,Lucknow,Gomti Nagar Lucknow,2.0
24000,2.0,Semi-Furnished,Family,6,3,Lucknow,Azea Botanica,14.0
20000,2.0,Unfurnished,Family,0,3,Lucknow,Sector 5 Vrindavan Colony Lucknow,1.0
16000,2.0,Unfurnished,Bachelors,1,2,Lucknow,Panchvati Colony Lucknow,1.0
15000,2.0,Unfurnished,Bachelors/Family,1,2,Lucknow,Omaxe City,2.0
11500,1.0,Semi-Furnished,Bachelors/Family,0,2,Lucknow,Omaxe City,2.0
16000,2.0,Unfurnished,Bachelors/Family,1,2,Lucknow,J214 souh city Raibareli road Lucknow Lucknow,2.0
12000,2.0,Furnished,Bachelors,8,2,Lucknow,Kiara Residency,13.0
15000,1.0,Unfurnished,Bachelors,1,2,Lucknow,Shivajipuram,1.0
8000,1.0,Semi-Furnished,Bachelors,1,1,Lucknow,Sector 11 Indira Nagar,3.0
15000,1.0,Unfurnished,Bachelors,1,1,Lucknow,Gomti Nagar Lucknow,3.0
16500,2.0,Semi-Furnished,Bachelors/Family,0,2,Lucknow,Viram Khand-3 Lucknow,1.0
40000,3.0,Semi-Furnished,Bachelors,1,3,Lucknow,Vishwas Khand Lucknow,1.0
15000,2.0,Unfurnished,Family,4,2,Lucknow,Diamond Height,5.0
9000,2.0,Unfurnished,Bachelors,0,2,Lucknow,Kursi Road Lucknow,1.0
12000,1.0,Furnished,Bachelors/Family,1,2,Lucknow,Mubarakpur,1.0
8000,1.0,Unfurnished,Family,0,2,Lucknow,Singarnagar Lucknow,1.0
18000,2.0,Semi-Furnished,Bachelors,0,2,Lucknow,ground floor of home Lucknow,1.0
15000,2.0,Semi-Furnished,Family,0,2,Lucknow,Mayur Residency,1.0
20000,3.0,Semi-Furnished,Bachelors,0,2,Lucknow,Ruchi Khand 2 Lucknow,1.0
15000,2.0,Unfurnished,Bachelors,1,3,Lucknow,Vikas Nagar Lucknow,1.0
18000,2.0,Unfurnished,Bachelors,1,2,Lucknow,Hardoi,2.0
30000,3.0,Unfurnished,Bachelors/Family,0,3,Lucknow,Vivek Khand - 2 Lucknow,11.0
60000,4.0,Semi-Furnished,Bachelors/Family,0,3,Lucknow,Gokhale marg Lucknow,11.0
24500,2.0,Furnished,Bachelors/Family,0,2,Lucknow,Kursi Road Lucknow,11.0
10000,2.0,Unfurnished,Bachelors,0,2,Lucknow,Omaxe City,11.0
22000,2.0,Semi-Furnished,Bachelors,2,3,Lucknow,RG Europhia,11.0
25000,3.0,Semi-Furnished,Bachelors,0,3,Lucknow,Eldeco Udyan II Lucknow,1.0
13000,2.0,Furnished,Family,1,2,Lucknow,Kursi Road Lucknow,1.0
55000,2.0,Unfurnished,Bachelors/Family,0,2,Goa,Siolim,1.0
30000,2.0,Unfurnished,Bachelors,1,3,Goa,Ponda Goa,1.0
55000,3.0,Semi-Furnished,Bachelors,0,3,Goa,Miramar,8.0
55000,3.0,Unfurnished,Bachelors/Family,0,3,Goa,Aradi Socorro Goa,8.0
82000,3.0,Unfurnished,Bachelors/Family,0,3,Goa,Panaji Goa,8.0
